mode,model,delta,loss_mse_vs_ref,n_shifted_gates
yy,ising,-6.283185307179589,0.00010734588235294164,0.0
yy,heisenberg,-5.945338651496838,0.14438595968796952,20.0
yy,ising,-5.945338651496838,0.0001368517647058822,0.0
yy,heisenberg,-5.625656782159669,0.1868424971916505,20.0
yy,ising,-5.625656782159669,0.0002108282352941178,0.0
yy,heisenberg,-5.323162975520285,0.020828096507105705,20.0
yy,ising,-5.323162975520285,0.00010207529411764753,0.0
yy,heisenberg,-5.03693302259909,0.1661154673925198,20.0
yy,ising,-5.03693302259909,7.341647058823514e-05,0.0
yy,heisenberg,-4.766092405350053,0.3121589312650342,20.0
yy,ising,-4.766092405350053,0.00021675764705882342,0.0
yy,heisenberg,-4.509813624746714,0.24372516375286105,20.0
yy,ising,-4.509813624746714,0.0002649929411764712,0.0
yy,heisenberg,-4.267313672525386,0.13111800720359862,20.0
yy,ising,-4.267313672525386,0.00015882823529411784,0.0
yy,heisenberg,-4.037851638860891,0.0850940026210651,20.0
yy,ising,-4.037851638860891,5.2240000000000015e-05,0.0
yy,heisenberg,-3.820726448665623,0.33727074718414857,20.0
yy,ising,-3.820726448665623,6.739294117647089e-05,0.0
yy,heisenberg,-3.615274719595643,0.424616833265483,20.0
yy,ising,-3.615274719595643,0.0004117223529411776,0.0
yy,heisenberg,-3.420868735219366,0.3798083399490317,20.0
yy,ising,-3.420868735219366,0.00022772235294117656,0.0
yy,heisenberg,-3.2369145271562667,0.3096352507383721,20.0
yy,ising,-3.2369145271562667,0.00013986352941176505,0.0
yy,heisenberg,-3.0628500603259736,0.2329202868438039,20.0
yy,ising,-3.0628500603259736,0.0003524752941176476,0.0
yy,heisenberg,-2.898143515763133,0.12709226911096907,20.0
yy,ising,-2.898143515763133,0.00040329882352941254,0.0
yy,heisenberg,-2.7422916657515257,0.07728666590705502,20.0
yy,ising,-2.7422916657515257,0.00020918117647058827,0.0
yy,heisenberg,-2.594818336313024,0.14671389380211694,20.0
yy,ising,-2.594818336313024,0.0001906400000000004,0.0
yy,heisenberg,-2.4552729523537695,0.3022770522782043,20.0
yy,ising,-2.4552729523537695,0.0004377458823529423,0.0
yy,heisenberg,-2.3232291610226077,0.3625549736066521,20.0
yy,ising,-2.3232291610226077,2.9981176470588217e-05,0.0
yy,heisenberg,-2.1982835290757192,0.32769658137668556,20.0
yy,ising,-2.1982835290757192,8.903999999999977e-05,0.0
yy,heisenberg,-2.080054310267486,0.2971332437758683,20.0
yy,ising,-2.080054310267486,9.906352941176486e-05,0.0
yy,heisenberg,-1.9681802790016327,0.2649323493798472,20.0
yy,ising,-1.9681802790016327,6.155764705882335e-05,0.0
yy,heisenberg,-1.8623196266790687,0.21966106660723703,20.0
yy,ising,-1.8623196266790687,9.445176470588245e-05,0.0
yy,heisenberg,-1.7621489173704834,0.15913102426626052,20.0
yy,ising,-1.7621489173704834,0.0001230164705882356,0.0
yy,heisenberg,-1.6673620996229055,0.10844663040530352,20.0
