mode,delta,loss_mse
zz,-5.03693302259909,0.08962496493835538
zz,-4.766092405350053,0.07756034210701433
zz,-4.509813624746714,0.08473798885737355
zz,-4.267313672525386,0.09139776651005947
zz,-4.037851638860891,0.08153812400372266
zz,-3.820726448665623,0.09022288254558448
zz,-3.615274719595643,0.08771852042428312
zz,-3.420868735219366,0.09096237781324451
zz,-3.2369145271562667,0.08287122531094271
zz,-3.0628500603259736,0.0825985025030726
zz,-2.898143515763133,0.08028608867421971
zz,-2.7422916657515257,0.07819504163980008
zz,-2.594818336313024,0.077098107266305
zz,-2.4552729523537695,0.08744396499828655
zz,-2.3232291610226077,0.0912721992979509
zz,-2.1982835290757192,0.08057452821239758
zz,-2.080054310267486,0.08672906204612425
zz,-1.9681802790016327,0.08301360234594585
zz,-1.8623196266790687,0.08571794612034925
zz,-1.7621489173704834,0.07293050956228733
zz,-1.6673620996229055,0.07889369189831177
zz,-1.577669571381064,0.08777595310434402
zz,-1.492797295166556,0.08118769666963602
zz,-1.4124859608114548,0.08249082896684097
zz,-1.336490193188253,0.0741968389143188
zz,-1.2645778025155159,0.08516163886934193
zz,-1.1965290749487103,0.08908211379383106
zz,-1.132136101288749,0.08148869317010812
zz,-1.0712021417572508,0.07356880754549679
zz,-1.013541024897726,0.08212778020494052
zz,-0.9589765787661355,0.08658286192418228
zz,-0.9073420926729556,0.08409992781159936
zz,-0.8584798078321985,0.07856017588670448
zz,-0.8122404353611755,0.08102966749695512
zz,-0.7684827001583442,0.07602762653853769
zz,-0.7270729092656553,0.09055152176840385
zz,-0.68788454339661,0.08082866573725152
zz,-0.6507978703820303,0.07823423480051908
zz,-0.6156995793524987,0.07383716348236347
zz,-0.5824824345397914,0.08376476869919307
zz,-0.5510449476395575,0.0892321121255541
zz,-0.5212910677342194,0.08704776917706422
zz,-0.49312988782871514,0.07717087084185544
zz,-0.4664753671024611,0.08396437475517197
zz,-0.4412460680289316,0.08268897483859608
zz,-0.41736490755967726,0.07917485724577993
zz,-0.3947589216125771,0.08019850953198622
zz,-0.37335904214476,0.08192366660205494
zz,-0.35309988612909526,0.0778479193377076
zz,-0.3339195557895036,0.08020537483267838
zz,-0.3157594494847533,0.0924542603538892
zz,-0.2985640826629329,0.07722011141413283
zz,-0.2822809183395641,0.07683247477032175
zz,-0.26686020658141324,0.08143991153584047
zz,-0.25225483250557745,0.08358554689648197
zz,-0.2384201723294368,0.08224551765116826
zz,-0.22531395703166326,0.07576341912177907
zz,-0.21289614320772793,0.07636566337264288
zz,-0.2011287907253334,0.07425583051821597
zz,-0.18997594680597096,0.0697928646055462
zz,-0.17940353617843807,0.07659126305328812
zz,-0.1693792569687013,0.07155234806443245
zz,-0.15987248200801774,0.07200315384972937
zz,-0.15085416525778153,0.07948399263933385
zz,-0.14229675306519543,0.0791830894343894
zz,-0.13417409997862736,0.08159365985952562
zz,-0.1264613888654419,0.07617428062245439
